"","CDH1","KLF8","ZEB1","time"
"1",579,83,12,0
"2",493,12,5,0
"3",694,93,29,0
"4",691,99,30,0
"5",535,28,12,0
"6",448,9,5,0
"7",607,74,11,0
"8",538,8,5,0
"9",497,24,5,0
"10",401,8,5,0
"11",597,138,5,0
"12",590,70,5,0
"13",581,8,5,0
"14",490,130,12,0
"15",459,68,5,0
"16",558,37,5,0
"17",570,98,30,0
"18",543,80,7,0
"19",622,97,30,0
"20",399,173,5,0
"21",373,7,4,0
"22",721,122,30,0
"23",546,52,5,0
"24",711,120,30,0
"25",522,8,5,0
"26",363,77,5,0
"27",514,14,5,0
"28",413,72,5,0
"29",605,107,30,0
"30",498,8,5,0
"31",657,94,30,0
"32",649,8,5,0
"33",682,108,30,0
"34",437,214,5,0
"35",476,58,45,0
"36",608,55,5,0
"37",386,22,5,0
"38",445,241,5,0
"39",638,253,108,0
"40",678,167,347,0
"41",573,16,5,0
"42",467,10,5,0
"43",586,104,30,0
"44",594,66,12,0
"45",679,265,30,0
"46",625,105,30,0
"47",489,50,5,0
"48",709,121,30,0
"49",620,32,15,0
"50",458,82,5,0
"51",584,180,29,0
"52",534,8,5,0
"53",540,148,30,0
"54",670,94,30,0
"55",500,111,30,0
"56",602,250,108,0
"57",517,88,5,0
"58",618,54,5,0
"59",683,104,34,0
"60",710,169,33,0
"61",506,8,5,0
"62",617,94,30,0
"63",700,247,108,0
"64",616,197,32,0
"65",556,110,30,0
"66",532,8,5,0
"67",537,17,5,0
"68",693,114,30,0
"69",503,63,5,0
"70",539,46,5,0
"71",661,410,30,0
"72",563,31,12,0
"73",685,246,108,0
"74",596,8,5,0
"75",567,53,8,0
"76",623,26,5,0
"77",466,8,5,0
"78",366,22,5,0
"79",671,144,30,0
"80",444,11,5,0
"81",460,8,5,0
"82",680,103,30,0
"83",578,106,42,0
"84",97,47,214,0
"85",533,33,5,0
"86",394,94,30,0
"87",541,140,30,0
"88",364,8,5,0
"89",658,116,30,0
"90",718,460,30,0
"91",320,42,135,0
"92",502,8,5,0
"93",652,94,30,12
"94",583,92,28,12
"95",397,21,5,12
"96",461,92,28,12
"97",648,94,30,12
"98",656,92,28,12
"99",628,94,30,12
"100",569,8,5,12
"101",595,100,30,12
"102",465,8,5,12
"103",370,2,2,12
"104",475,7,4,12
"105",595,102,30,12
"106",425,8,5,12
"107",528,8,5,12
"108",385,27,5,12
